"","city","region","year","season","attendance","arrests","arrests_percent","post","attendance_thosand","treat","income_per_head","percent_from_income","unemployed","beer_tobacco","population","unemployed_thousand","population_thousand","arrest_vs_population"
"345","Rochdale","Northwest",1988,"1988/1989",45127,47,0.1,"0",45.127,"0",6064,0.386048813,4013000,2341,96818,4013,96.818,0.485446921027082
"346","Rochdale","Northwest",1989,"1989/1990",47510,28,0.06,"0",47.51,"0",6729,0.368405409,3270300,2479,96989,3270.3,96.989,0.28869253214282
"347","Rochdale","Northwest",1990,"1990/1991",39900,5,0.01,"1",39.9,"0",7535,0.3668215,2922700,2764,97061,2922.7,97.061,0.0515139963528091
"348","Rochdale","Northwest",1991,"1991/1992",58464,37,0.06,"1",58.464,"0",8015,0.373799127,3584300,2995,97281,3584.3,97.281,0.380341484976511
"349","Rochdale","Northwest",1992,"1992/1993",48561,48,0.1,"1",48.561,"0",8441,0.338230068,4045000,2855,97236,4045,97.236,0.493644329260768
"350","Rochdale","Northwest",1993,"1993/1994",55788,7,0.01,"1",55.788,"0",8620,0.336658933,4066000,2902,97324,4066,97.324,0.0719247051087091
"351","Rotherham","Yorkshire Humberside",1987,"1987/1988",84107,47,0.06,"0",84.107,"0",5614,0.293729961,3165800,1649,101285,3165.8,101.285,0.464037122969838
"352","Rotherham","Yorkshire Humberside",1988,"1988/1989",116279,31,0.03,"0",116.279,"0",6021,0.287825943,2626200,1733,101483,2626.2,101.483,0.305469881655056
"353","Rotherham","Yorkshire Humberside",1989,"1989/1990",127692,48,0.04,"0",127.692,"0",6722,0.271199048,2084700,1823,101974,2084.7,101.974,0.470708219742287
"354","Rotherham","Yorkshire Humberside",1990,"1990/1991",84539,31,0.04,"1",84.539,"0",7497,0.265839669,1918200,1993,102154,1918.2,102.154,0.303463398398496
"355","Rotherham","Yorkshire Humberside",1991,"1991/1992",104492,70,0.07,"1",104.492,"0",7989,0.278382776,2463000,2224,102467,2463,102.467,0.683146769203744
"356","Rotherham","Yorkshire Humberside",1992,"1992/1993",109681,37,0.03,"1",109.681,"0",8459,0.282657525,2803000,2391,102735,2803,102.735,0.360149900228744
"357","Rotherham","Yorkshire Humberside",1993,"1993/1994",85438,29,0.03,"1",85.438,"0",8690,0.292059839,2904400,2538,102841,2904.4,102.841,0.281988701004463
"358","Scarborough","Yorkshire Humberside",1987,"1987/1988",70504,146,0.21,"0",70.504,"0",5614,0.293729961,3165800,1649,57017,3165.8,57.017,2.56063980917972
"359","Scarborough","Yorkshire Humberside",1988,"1988/1989",66895,51,0.08,"0",66.895,"0",6021,0.287825943,2626200,1733,57129,2626.2,57.129,0.892716483747309
"360","Scarborough","Yorkshire Humberside",1989,"1989/1990",53204,31,0.06,"0",53.204,"0",6722,0.271199048,2084700,1823,57405,2084.7,57.405,0.540022646110966
"361","Scarborough","Yorkshire Humberside",1990,"1990/1991",31161,0,0,"1",31.161,"0",7497,0.265839669,1918200,1993,57506,1918.2,57.506,0
"362","Scarborough","Yorkshire Humberside",1991,"1991/1992",36885,7,0.02,"1",36.885,"0",7989,0.278382776,2463000,2224,57682,2463,57.682,0.121355015429423
"363","Scarborough","Yorkshire Humberside",1992,"1992/1993",40503,26,0.06,"1",40.503,"0",8459,0.282657525,2803000,2391,57833,2803,57.833,0.449570314526309
"364","Scarborough","Yorkshire Humberside",1993,"1993/1994",35302,20,0.06,"1",35.302,"0",8690,0.292059839,2904400,2538,57893,2904.4,57.893,0.345464909401828
"365","Scunthorpe","Yorkshire Humberside",1987,"1987/1988",74405,46,0.06,"0",74.405,"0",5614,0.293729961,3165800,1649,73848,3165.8,73.848,0.622901094139313
"366","Scunthorpe","Yorkshire Humberside",1988,"1988/1989",104588,55,0.05,"0",104.588,"0",6021,0.287825943,2626200,1733,73993,2626.2,73.993,0.743313556687795
"367","Scunthorpe","Yorkshire Humberside",1989,"1989/1990",81007,15,0.02,"0",81.007,"0",6722,0.271199048,2084700,1823,74351,2084.7,74.351,0.201745773426047
"368","Scunthorpe","Yorkshire Humberside",1990,"1990/1991",62458,6,0.01,"1",62.458,"0",7497,0.265839669,1918200,1993,74482,1918.2,74.482,0.0805563760371633
"369","Scunthorpe","Yorkshire Humberside",1991,"1991/1992",70168,3,0,"1",70.168,"0",7989,0.278382776,2463000,2224,74710,2463,74.71,0.0401552670325258
"370","Scunthorpe","Yorkshire Humberside",1992,"1992/1993",66077,13,0.02,"1",66.077,"0",8459,0.282657525,2803000,2391,74906,2803,74.906,0.173550850399167
